"","Enzyme.ID","Gene.composition","genes","stoich","nUnknown","nGenes"
"330","CPLX0-7654","b3927(4)","b3927","4","0",1
"331","CPLX0-7655","b4036(3)","b4036","3","0",1
"332","CPLX0-7659","b0414(2)","b0414","2","0",1
"333","CPLX0-7660","b0222(4)","b0222","4","0",1
"334","CPLX0-7674","b1250(4)","b1250","4","0",1
"335","CPLX0-7684","b2682() AND b2683()","b2682,b2683","1,1","2",2
"336","CPLX0-7685","b0125(4)","b0125","4","0",1
"337","CPLX0-7687","b1525(2)","b1525","2","0",1
"338","CPLX0-7688","b2661(4)","b2661","4","0",1
"339","CPLX0-7692","b2781(2)","b2781","2","0",1
"340","CPLX0-7694","b0485(4)","b0485","4","0",1
"341","CPLX0-7695","b1524(2)","b1524","2","0",1
"342","CPLX0-7704","b0914(2)","b0914","2","0",1
"343","CPLX0-7709","b1297(12)","b1297","12","0",1
"344","CPLX0-7712","b2051(2)","b2051","2","0",1
"345","CPLX0-7717","b3396(2)","b3396","2","0",1
"346","CPLX0-7717_G6561-MONOMER","b1069() AND b3396(2)","b1069,b3396","1,2","1",2
"347","CPLX0-7718","b2255(6)","b2255","6","0",1
"348","CPLX0-7719","b0750(2)","b0750","2","0",1
"349","CPLX0-7720","b2258() AND b4544()","b2258,b4544","1,1","2",2
"350","CPLX0-7732","b2428(2)","b2428","2","0",1
"351","CPLX0-7741","b2917(2)","b2917","2","0",1
"352","CPLX0-7744","b4196(2)","b4196","2","0",1
"353","CPLX0-7760","b1276(2)","b1276","2","0",1
"354","CPLX0-7761","b0118(2)","b0118","2","0",1
"355","CPLX0-7776","b2930(2)","b2930","2","0",1
"356","CPLX0-7788","b2146(2) AND b2147(2)","b2146,b2147","2,2","0",2
"357","CPLX0-7794","b3882(4)","b3882","4","0",1
"358","CPLX0-7808","b2436(2)","b2436","2","0",1
"359","CPLX0-7811","b3850(4)","b3850","4","0",1
"360","CPLX0-7817","b1654(2)","b1654","2","0",1
"361","CPLX0-7819","b0047(2)","b0047","2","0",1
"362","CPLX0-782","b0628(2)","b0628","2","0",1
"363","CPLX0-7824","b1684(2)","b1684","2","0",1
"364","CPLX0-7826","b2954(2)","b2954","2","0",1
"365","CPLX0-7838","b2810(2)","b2810","2","0",1
"366","CPLX0-7838_CPLX0-7839","b2810(2) AND b2811(2)","b2810,b2811","2,2","0",2
"367","CPLX0-7843","b0904(5)","b0904","5","0",1
"368","CPLX0-7847","b0052(2)","b0052","2","0",1
"369","CPLX0-7848","b4192(6)","b4192","6","0",1
"370","CPLX0-7877","b4025(2)","b4025","2","0",1
"371","CPLX0-7878","b2373(4)","b2373","4","0",1
"372","CPLX0-7882","b2262(6)","b2262","6","0",1
"373","CPLX0-7887","b2379(2)","b2379","2","0",1
"374","CPLX0-7888","b2290(2)","b2290","2","0",1
"375","CPLX0-7904","b2162(4)","b2162","4","0",1
"376","CPLX0-7906","b0040(3)","b0040","3","0",1
"377","CPLX0-7912","b2458(2)","b2458","2","0",1
"378","CPLX0-821","b3371(12)","b3371","12","0",1
"379","CPM-KDOSYNTH-MONOMER","b0918(1)","b0918","1","0",1
"380","CTPSYN-CPLX","b2780(4)","b2780","4","0",1
"381","CYCA-MONOMER","b4208(1)","b4208","1","0",1
"382","CYNX-MONOMER","b0341(1)","b0341","1","0",1
"383","CysS_mono","b0526(1)","b0526","1","0",1
"384","CYSTATHIONINE-BETA-LYASE-CPLX","b3008(4)","b3008","4","0",1
"385","CYT-D-UBIOX-CPLX","b0733(1) AND b0734(1)","b0733,b0734","1,1","0",2
"386","CYT-O-UBIOX-CPLX","b0429(1) AND b0431(1) AND b0430(1) AND b0432(1)","b0429,b0430,b0431,b0432","1,1,1,1","0",4
"387","CYTDEAM-MONOMER","b0337(1)","b0337","1","0",1
"388","CYTIDEAM-CPLX","b2143(2)","b2143","2","0",1
"389","DALADALALIGA-MONOMER","b0381(1)","b0381","1","0",1
"390","DALADALALIGB-CPLX","b0092(2)","b0092","2","0",1
"391","DALADEHYDROGA-MONOMER","b1189(1)","b1189","1","0",1
"392","DAPASYN-CPLX","b0774(2)","b0774","2","0",1
"393","DCTA-MONOMER","b3528(1)","b3528","1","0",1
"394","DCTP-DEAM-CPLX","b2065(3)","b2065","3","0",1
"395","DCUA-MONOMER","b4138(1)","b4138","1","0",1
"396","DCUB-MONOMER","b4123(1)","b4123","1","0",1
"397","DCUC-MONOMER","b0621(1)","b0621","1","0",1
"398","DCYSDESULF-CPLX","b1919(2)","b1919","2","0",1
"399","Def_mono","b3287(1)","b3287","1","0",1
"400","DEHYDDEOXGALACTKIN-MONOMER","b3693(1)","b3693","1","0",1
"401","DEHYDDEOXPHOSGALACT-ALDOL-MONOMER","b4477(1)","b4477","1","0",1
"402","DEOA-CPLX","b4382(2)","b4382","2","0",1
"403","DEOD-CPLX","b4384(6)","b4384","6","0",1
"404","DEOXYGLUCONOKIN-MONOMER","b3526(1)","b3526","1","0",1
"405","DEOXYRIBOSE-P-ALD-MONOMER","b4381(1)","b4381","1","0",1
"406","DETHIOBIOTIN-SYN-CPLX","b0778(2)","b0778","2","0",1
"407","DGTPTRIPHYDRO-CPLX","b0160(4)","b0160","4","0",1
"408","DHHB-METHYLTRANSFER-CPLX","b2232(2)","b2232","2","0",1
"409","DHPDIOXYGEN-CPLX","b0348(4)","b0348","4","0",1
"410","DIACYLGLYKIN-CPLX","b4042(3)","b4042","3","0",1
"411","DIAMINOPIMDECARB-CPLX","b2838(4)","b2838","4","0",1
"412","DIAMINOPIMEPIM-MONOMER","b3809(1)","b3809","1","0",1
"413","DIHYDRODIPICSYN-CPLX","b2478(4)","b2478","4","0",1
"414","DIHYDROFOLATEREDUCT-MONOMER","b0048(1)","b0048","1","0",1
"415","DIHYDROOROT-CPLX","b1062(2)","b1062","2","0",1
"416","DIHYDROOROTOX-MONOMER","b0945(1)","b0945","1","0",1
"417","DIHYDROPICRED-CPLX","b0031(4)","b0031","4","0",1
"418","DIHYDROPTERIREDUCT-CPLX","b0578(2)","b0578","2","0",1
"419","DIHYDROXYACIDDEHYDRAT-CPLX","b3771(2)","b3771","2","0",1
"420","DIMESULFREDUCT-CPLX","b0896(1) AND b0895(1) AND b0894(1)","b0894,b0895,b0896","1,1,1","0",3
"421","DIOHBUTANONEPSYN-CPLX","b3041(2)","b3041","2","0",1
"422","DLACTDEHYDROGFAD-MONOMER","b2133(1)","b2133","1","0",1
"423","DLACTDEHYDROGNAD-MONOMER","b1380(1)","b1380","1","0",1
"424","DMBPPRIBOSYLTRANS-CPLX","b1991(2)","b1991","2","0",1
"425","DMK-MONOMER","b3930(1)","b3930","1","0",1
"426","DnaJ_dim","b0015(2)","b0015","2","0",1
"427","DnaK_mono","b0014(1)","b0014","1","0",1
"428","DSBBPROT-MONOMER","b1185(1)","b1185","1","0",1
"429","DSBC-CPLX","b2893(2)","b2893","2","0",1
"430","DSBD-MONOMER","b4136(1)","b4136","1","0",1
"431","DSBG-CPLX","b0604(2)","b0604","2","0",1
"432","DSERDEAM-MONOMER","b2366(1)","b2366","1","0",1
"433","DTDPDEHYDRHAMEPIM-MONOMER","b2038(1)","b2038","1","0",1
"434","DTDPDEHYRHAMREDUCT-MONOMER","b2040(1)","b2040","1","0",1
"435","DTDPGLUCDEHYDRAT-CPLX","b2041(2)","b2041","2","0",1
"436","DTDPGLUCDEHYDRAT2-MONOMER","b3788(1)","b3788","1","0",1
"437","DTDPGLUCOSEPP-MONOMER","b2039(1)","b2039","1","0",1
"438","DTDPGLUCOSEPP2-MONOMER","b3789(1)","b3789","1","0",1
"439","DTMPKI-MONOMER","b1098(1)","b1098","1","0",1
"440","DusA_mono","b4049(1)","b4049","1","0",1
"441","DusB_mono","b3260(1)","b3260","1","0",1
"442","DusC_mono","b2140(1)","b2140","1","0",1
"443","DUTP-PYROP-CPLX","b3640(3)","b3640","3","0",1
"444","DXPREDISOM-CPLX","b0173(2)","b0173","2","0",1
"445","EG10041-MONOMER","b0110(1)","b0110","1","0",1
"446","EG10043-MONOMER","b4214(1)","b4214","1","0",1
"447","EG10048-MONOMER","b0049(1)","b0049","1","0",1
"448","EG10108-MONOMER","b2480(1)","b2480","1","0",1
"449","EG10119-MONOMER","b0777(1)","b0777","1","0",1
"450","EG10122-MONOMER","b3412(1)","b3412","1","0",1
"451","EG10124-MONOMER","b3551(1)","b3551","1","0",1
"452","EG10144-MONOMER","b1734(1)","b1734","1","0",1
"453","EG10153-MONOMER","b0827(1)","b0827","1","0",1
"454","EG10154-MONOMER","b0826(1)","b0826","1","0",1
"455","EG10168-MONOMER","b0657(1)","b0657","1","0",1
"456","EG10201-MONOMER","b0632(1)","b0632","1","0",1
"457","EG10202-MONOMER","b3182(1)","b3182","1","0",1
"458","EG10203-MONOMER","b0839(1)","b0839","1","0",1
"459","EG10280-MONOMER","b2344(1)","b2344","1","0",1
"460","EG10299-MONOMER","b0585(1)","b0585","1","0",1
"461","EG10341-MONOMER","b0084(1)","b0084","1","0",1
"462","EG10370-MONOMER","b2515(1)","b2515","1","0",1
"463","EG10374-MONOMER","b3447(1)","b3447","1","0",1
"464","EG10381-MONOMER","b3431(1)","b3431","1","0",1
"465","EG10456-MONOMER","b2552(1)","b2552","1","0",1
"466","EG10534-MONOMER","b2411(1)","b2411","1","0",1
"467","EG10544-MONOMER","b1677(1)","b1677","1","0",1
"468","EG10564-MONOMER","b1622(1)","b1622","1","0",1
"469","EG10606-MONOMER","b0635(1)","b0635","1","0",1
"470","EG10626-MONOMER","b0099(1)","b0099","1","0",1
"471","EG10669-MONOMER","b0957(1)","b0957","1","0",1
"472","EG10696-MONOMER","b0932(1)","b0932","1","0",1
"473","EG10723-MONOMER","b4094(1)","b4094","1","0",1
"474","EG10739-MONOMER","b3825(1)","b3825","1","0",1
"475","EG10780-MONOMER","b1308(1)","b1308","1","0",1
"476","EG10943-MONOMER","b1764(1)","b1764","1","0",1
"477","EG10950-MONOMER","b4392(1)","b4392","1","0",1
"478","EG10983-MONOMER","b2533(1)","b2533","1","0",1
"479","EG11009-MONOMER","b3035(1)","b3035","1","0",1
"480","EG11035-MONOMER","b0411(1)","b0411","1","0",1
"481","EG11082-MONOMER","b0030(1)","b0030","1","0",1
"482","EG11095-MONOMER","b0404(1)","b0404","1","0",1
"483","EG11110-MONOMER","b0736(1)","b0736","1","0",1
"484","EG11158-MONOMER","b2912(1)","b2912","1","0",1
"485","EG11167-MONOMER","b3040(1)","b3040","1","0",1
"486","EG11189-MONOMER","b3621(1)","b3621","1","0",1
"487","EG11239-MONOMER","b0766(1)","b0766","1","0",1
"488","EG11288-MONOMER","b0394(1)","b0394","1","0",1
"489","EG11339-MONOMER","b3631(1)","b3631","1","0",1
"490","EG11340-MONOMER","b3630(1)","b3630","1","0",1
"491","EG11341-MONOMER","b3632(1)","b3632","1","0",1
"492","EG11350-MONOMER","b3629(1)","b3629","1","0",1
"493","EG11351-MONOMER","b3628(1)","b3628","1","0",1
"494","EG11352-MONOMER","b3627(1)","b3627","1","0",1
"495","EG11353-MONOMER","b3626(1)","b3626","1","0",1
"496","EG11373-MONOMER","b2558(1)","b2558","1","0",1
"497","EG11423-MONOMER","b3623(1)","b3623","1","0",1
"498","EG11424-MONOMER","b3622(1)","b3622","1","0",1
"499","EG11425-MONOMER","b3625(1)","b3625","1","0",1
"500","EG11426-MONOMER","b3624(1)","b3624","1","0",1
"501","EG11433-MONOMER","b4219(1)","b4219","1","0",1
"502","EG11437-MONOMER","b1090(1)","b1090","1","0",1
"503","EG11470-MONOMER","b3826(1)","b3826","1","0",1
"504","EG11486-MONOMER","b3792(1)","b3792","1","0",1
"505","EG11511-MONOMER","b0009(1)","b0009","1","0",1
"506","EG11591-MONOMER","b0630(1)","b0630","1","0",1
"507","EG11595-MONOMER_EG11666-MONOMER","b0783() AND b0781()","b0781,b0783","1,1","2",2
"508","EG11597-MONOMER","b0784(1)","b0784","1","0",1
"509","EG11598-MONOMER","b0785(1)","b0785","1","0",1
"510","EG11600-MONOMER","b2521(1)","b2521","1","0",1
"511","EG11639-MONOMER","b1533(1)","b1533","1","0",1
"512","EG11653-MONOMER","b3807(1)","b3807","1","0",1
"513","EG11665-MONOMER","b3057(1)","b3057","1","0",1
"514","EG11671-MONOMER","b2223(1)","b2223","1","0",1
"515","EG11674-MONOMER","b3059(1)","b3059","1","0",1
"516","EG11702-MONOMER","b3996(1)","b3996","1","0",1
"517","EG11724-MONOMER","b3714(1)","b3714","1","0",1
"518","EG11736-MONOMER","b0200(1)","b0200","1","0",1
"519","EG11796-MONOMER","b4386(1)","b4386","1","0",1
"520","EG11817-MONOMER","b2744(1)","b2744","1","0",1
"521","EG11822-MONOMER","b1301(1)","b1301","1","0",1
"522","EG11829-MONOMER","b3857(1)","b3857","1","0",1
"523","EG11829-MONOMER_EG11828-MONOMER","b3856() AND b3857()","b3856,b3857","1,1","2",2
"524","EG11905-MONOMER","b3946(1)","b3946","1","0",1
"525","EG11910-MONOMER_dimer","b3951(2)","b3951","2","0",1
"526","EG11911-MONOMER","b3952(1)","b3952","1","0",1
"527","EG11956-MONOMER","b4084(1)","b4084","1","0",1
"528","EG11957-MONOMER","b4085(1)","b4085","1","0",1
"529","EG11983-MONOMER","b2034(1)","b2034","1","0",1
"530","EG11984-MONOMER","b2033(1)","b2033","1","0",1
"531","EG11985-MONOMER","b2032(1)","b2032","1","0",1
"532","EG12013-MONOMER","b2132(1)","b2132","1","0",1
"533","EG12015-MONOMER","b2134(1)","b2134","1","0",1
"534","EG12069-MONOMER","b2210(1)","b2210","1","0",1
"535","EG12115-MONOMER","b4374(1)","b4374","1","0",1
"536","EG12130-MONOMER_EG12131-MONOMER","b2527() AND b2526()","b2526,b2527","1,1","2",2
"537","EG12134-MONOMER","b0813(1)","b0813","1","0",1
"538","EG12195-MONOMER","b0998(1)","b0998","1","0",1
"539","EG12210-MONOMER","b3620(1)","b3620","1","0",1
"540","EG12221-MONOMER","b3475(1)","b3475","1","0",1
"541","EG12267-MONOMER","b3546(1)","b3546","1","0",1
"542","EG12285-MONOMER","b3581(1)","b3581","1","0",1
"543","EG12287-MONOMER","b3583(1)","b3583","1","0",1
"544","EG12310-MONOMER","b2523(1)","b2523","1","0",1
"545","EG12312-MONOMER","b0103(1)","b0103","1","0",1
"546","EG12318-MONOMER","b0123(1)","b0123","1","0",1
"547","EG12384-MONOMER","b0521(1)","b0521","1","0",1
"548","EG12394-MONOMER","b1778(1)","b1778","1","0",1
"549","EG12407-MONOMER","b0828(1)","b0828","1","0",1
"550","EG12438-MONOMER","b2263(1)","b2263","1","0",1
"551","EG12440-MONOMER","b4233(1)","b4233","1","0",1
"552","EG12445-MONOMER","b2578(1)","b2578","1","0",1
"553","EG12450-MONOMER","b2711(1)","b2711","1","0",1
"554","EG12455-MONOMER","b2835(1)","b2835","1","0",1
"555","EG12666-MONOMER","b0524(1)","b0524","1","0",1
"556","EG12712-MONOMER","b2687(1)","b2687","1","0",1
"557","EG12713-MONOMER","b1473(1)","b1473","1","0",1
"558","EG13236-MONOMER","b0732(1)","b0732","1","0",1
"559","EG50003-MONOMER","b1094(1)","b1094","1","0",1
"560","EIISGA","b2415(1) AND b2416(2) AND b4193(2) AND b4194(1) AND b4195(1)","b2415,b2416,b4193,b4194,b4195","1,2,2,1,1","0",5
"561","Eno_dim","b2779(2)","b2779","2","0",1
"562","ENOYL-ACP-REDUCT-NADH-MONOMER","b1288(1)","b1288","1","0",1
"563","ENTA-CPLX","b0596(8)","b0596","8","0",1
"564","ENTC-MONOMER","b0593(1)","b0593","1","0",1
"565","ENTD-MONOMER","b0583(1)","b0583","1","0",1
"566","ENTE-CPLX","b0594(2)","b0594","2","0",1
"567","ENTF-MONOMER","b0586(1)","b0586","1","0",1
"568","Era_dim","b2566(2)","b2566","2","0",1
"569","ERYTH4PDEHYDROG-CPLX","b2927(4)","b2927","4","0",1
"570","ERYTHRON4PDEHYDROG-MONOMER","b2320(1)","b2320","1","0",1
"571","ETHAMLY-CPLX","b2441(6) AND b2440(6)","b2440,b2441","6,6","0",2
"572","EXUT-MONOMER","b3093(1)","b3093","1","0",1
"573","F16B-CPLX","b4232(4)","b4232","4","0",1
"574","FABA-CPLX","b0954(2)","b0954","2","0",1
"575","FABB-CPLX","b2323(2)","b2323","2","0",1
"576","FABZ-CPLX","b0180()","b0180","1","1",1
"577","FADA-CPLX","b3845(2)","b3845","2","0",1
"578","FADB-CPLX","b3846(2)","b3846","2","0",1
"579","FecI_mono","b4293(1)","b4293","1","0",1
"580","FEOB-MONOMER","b3409(1)","b3409","1","0",1
"581","FGAMSYN-MONOMER","b2557(1)","b2557","1","0",1
"582","FHLMULTI-CPLX","b2719() AND b2722() AND b2720() AND b4079(1) AND b2724() AND b2723() AND b2721()","b2719,b2720,b2721,b2722,b2723,b2724,b4079","1,1,1,1,1,1,1","6",7
"583","FLAVODOXIN1-MONOMER","b0684(1)","b0684","1","0",1
"584","FLAVODOXIN2-MONOMER","b2895(1)","b2895","1","0",1
"585","FLAVONADPREDUCT-MONOMER","b3924(1)","b3924","1","0",1
"586","FliA_mono","b1922(1)","b1922","1","0",1
"587","FMNREDUCT-MONOMER","b3844(1)","b3844","1","0",1
"588","Fmt_mono","b3288(1)","b3288","1","0",1
"589","FOCB-MONOMER","b2492(1)","b2492","1","0",1
"590","FOLC-MONOMER","b2315(1)","b2315","1","0",1
"591","FOLD-CPLX","b0529(2)","b0529","2","0",1
"592","FOLE-CPLX","b2153(10)","b2153","10","0",1
"593","FOLXTET-CPLX","b2303(8)","b2303","8","0",1
"594","FORMATEDEHYDROGN-CPLX","b1475(3) AND b1474(3) AND b1476(3)","b1474,b1475,b1476","3,3,3","0",3
"595","FORMATEDEHYDROGO-CPLX","b3892(1) AND b3893(1) AND b3894(1)","b3892,b3893,b3894","1,1,1","0",3
"596","FORMHYDROG2-CPLX","b2994() AND b2995() AND b2996() AND b2997()","b2994,b2995,b2996,b2997","1,1,1,1","4",4
"597","FORMHYDROGI-CPLX","b0974() AND b0972() AND b0973()","b0972,b0973,b0974","1,1,1","3",3
"598","FORMYLTHFDEFORMYL-CPLX","b1232(6)","b1232","6","0",1
"599","FPPSYN-MONOMER","b0421(1)","b0421","1","0",1
"600","FRUCBISALD-CLASSI","b2097(10)","b2097","10","0",1
"601","FRUCBISALD-CLASSII","b2925(2)","b2925","2","0",1
"602","FUCP-MONOMER","b2801(1)","b2801","1","0",1
"603","FUCULOKIN-MONOMER","b2803(1)","b2803","1","0",1
"604","FUMARASE-A","b1612(2)","b1612","2","0",1
"605","FUMARASE-B","b4122(2)","b4122","2","0",1
"606","FUMARASE-C","b1611(4)","b1611","4","0",1
"607","FUMARATE-REDUCTASE","b4154(1) AND b4152(1) AND b4153(1) AND b4151(1)","b4151,b4152,b4153,b4154","1,1,1,1","0",4
"608","FusA_mono","b3340(1)","b3340","1","0",1
"609","G495-MONOMER","b2901(1)","b2901","1","0",1
"610","G6176-MONOMER_G6177-MONOMER_G6178-MONOMER","b0307() AND b0306() AND b0308()","b0306,b0307,b0308","1,1,1","3",3
"611","G6188-MONOMER","b0323(1)","b0323","1","0",1
"612","G6199-MONOMER","b0334(1)","b0334","1","0",1
"613","G6208-MONOMER","b0355(1)","b0355","1","0",1
"614","G6245-MONOMER","b0444(1)","b0444","1","0",1
"615","G6246-MONOMER","b0446(1)","b0446","1","0",1
"616","G6260-MONOMER","b0484(1)","b0484","1","0",1
"617","G6275-MONOMER","b0505(1)","b0505","1","0",1
"618","G6286-MONOMER","b0517(1)","b0517","1","0",1
"619","G6339-MONOMER","b0613(1)","b0613","1","0",1
"620","G6340-MONOMER","b0614(1)","b0614","1","0",1
"621","G6357-MONOMER","b0650(1)","b0650","1","0",1
"622","G6358-MONOMER","b0651(1)","b0651","1","0",1
"623","G6406-MONOMER","b0789(1)","b0789","1","0",1
"624","G6414-MONOMER_CPLX0-1923","b0805() AND b1252() AND b3005() AND b3006()","b0805,b1252,b3005,b3006","1,1,1,1","4",4
"625","G6425-MONOMER","b0822(1)","b0822","1","0",1
"626","G6437-MONOMER","b0837(1)","b0837","1","0",1
"627","G6439-MONOMER","b0841(1)","b0841","1","0",1
"628","G6502-MONOMER","b0968(1)","b0968","1","0",1
"629","G6519-MONOMER","b1008(1)","b1008","1","0",1
"630","G6520-MONOMER","b1009(1)","b1009","1","0",1
"631","G6521-MONOMER","b1010(1)","b1010","1","0",1
"632","G6522-MONOMER","b1011(1)","b1011","1","0",1
"633","G6523-MONOMER_G6518-MONOMER","b1007() AND b1012()","b1007,b1012","1,1","2",2
"634","G6539-MONOMER","b1033(1)","b1033","1","0",1
"635","G6567-MONOMER","b1107(1)","b1107","1","0",1
"636","G6576-MONOMER","b1119(1)","b1119","1","0",1
"637","G6580-MONOMER","b1134(1)","b1134","1","0",1
"638","G6621-MONOMER","b1192(1)","b1192","1","0",1
"639","G6622-MONOMER","b1193(1)","b1193","1","0",1
"640","G6646-MONOMER","b1302(1)","b1302","1","0",1
"641","G6657-MONOMER","b1319(1)","b1319","1","0",1
"642","G6661-MONOMER","b1325(1)","b1325","1","0",1
"643","G6662-MONOMER","b1326(1)","b1326","1","0",1
"644","G6700-MONOMER","b1377(1)","b1377","1","0",1
"645","G6701-MONOMER","b1378(1)","b1378","1","0",1
"646","G6708-MONOMER","b1387(1)","b1387","1","0",1
"647","G6712-MONOMER","b1391(1)","b1391","1","0",1
"648","G6714-MONOMER","b1393(1)","b1393","1","0",1
"649","G6715-MONOMER","b1394(1)","b1394","1","0",1
"650","G6716-MONOMER","b1395(1)","b1395","1","0",1
"651","G6718-MONOMER","b1397(1)","b1397","1","0",1
"652","G6719-MONOMER","b1398(1)","b1398","1","0",1
"653","G6782-MONOMER","b1488(1)","b1488","1","0",1
"654","G6806-MONOMER","b1519(1)","b1519","1","0",1
"655","G6849-MONOMER","b1591(1)","b1591","1","0",1
"656","G6862-MONOMER","b1606(1)","b1606","1","0",1
"657","G6880-MONOMER","b1640(1)","b1640","1","0",1
"658","G6886-MONOMER","b1646(1)","b1646","1","0",1
"659","G6954-MONOMER","b1759(1)","b1759","1","0",1
"660","G6960-MONOMER","b1773(1)","b1773","1","0",1
"661","G6967-MONOMER","b1781(1)","b1781","1","0",1
"662","G6986-MONOMER","b1800(1)","b1800","1","0",1
"663","G7090-MONOMER_EG11982-MONOMER","b2027() AND b2035()","b2027,b2035","1,1","2",2
"664","G7096-MONOMER","b2045(1)","b2045","1","0",1
"665","G7146-MONOMER","b2174(1)","b2174","1","0",1
"666","G7164-MONOMER","b2251(1)","b2251","1","0",1
"667","G7166-MONOMER","b2253(1)","b2253","1","0",1
"668","G7167-MONOMER","b2254(1)","b2254","1","0",1
"669","G7169-MONOMER","b2256(1)","b2256","1","0",1
"670","G7170-MONOMER","b2257(1)","b2257","1","0",1
"671","G7322-MONOMER_G6561-MONOMER","b2519() AND b1069()","b1069,b2519","1,1","2",2
"672","G7408-MONOMER","b2690(1)","b2690","1","0",1
"673","G7410-MONOMER","b2701(1)","b2701","1","0",1
"674","G7419-MONOMER","b2738(1)","b2738","1","0",1
"675","G7431-MONOMER","b2765(1)","b2765","1","0",1
"676","G7446-MONOMER","b2788(1)","b2788","1","0",1
"677","G7457-MONOMER","b2813(1)","b2813","1","0",1
"678","G7458-MONOMER","b2817(1)","b2817","1","0",1
"679","G7493-MONOMER","b2874(1)","b2874","1","0",1
"680","G7496-MONOMER","b2877(1)","b2877","1","0",1
"681","G7502-MONOMER","b2883(1)","b2883","1","0",1
"682","G7517-MONOMER","b2920(1)","b2920","1","0",1
"683","G7533-MONOMER","b2963(1)","b2963","1","0",1
"684","G7558-MONOMER","b3001(1)","b3001","1","0",1
"685","G7596-MONOMER","b3073(1)","b3073","1","0",1
"686","G7726-MONOMER","b3374(1)","b3374","1","0",1
"687","G7732-MONOMER","b3380(1)","b3380","1","0",1
"688","G7800-MONOMER","b4481(1)","b4481","1","0",1
"689","G7814-MONOMER","b3875(1)","b3875","1","0",1
"690","G7841-MONOMER","b4161(1)","b4161","1","0",1
"691","G7859-MONOMER","b4197(1)","b4197","1","0",1
"692","G7860-MONOMER","b4198(1)","b4198","1","0",1
"693","G7914-MONOMER","b4301(1)","b4301","1","0",1
"694","G7921-MONOMER","b4311(1)","b4311","1","0",1
"695","G7945-MONOMER","b4358(1)","b4358","1","0",1
"696","G7949-MONOMER","b4367(1)","b4367","1","0",1
"697","GABATRANSAM-CPLX","b2662(2)","b2662","2","0",1
"698","GABP-MONOMER","b2663(1)","b2663","1","0",1
"699","GALACTARDEHYDRA-MONOMER","b3128(1)","b3128","1","0",1
"700","GALACTITOLPDEHYD-MONOMER","b2091(1)","b2091","1","0",1
"701","GALACTOKIN-MONOMER","b0757(1)","b0757","1","0",1
"702","GALACTONATE-DEHYDRATASE-MONOMER","b4478(1)","b4478","1","0",1
"703","GALACTURIDYLYLTRANS-CPLX","b0758(2)","b0758","2","0",1
"704","GALP-MONOMER","b2943(1)","b2943","1","0",1
"705","GALPMUT-MONOMER","b2036(1)","b2036","1","0",1
"706","GAPDH-A-CPLX","b1779(4)","b1779","4","0",1
"707","GART-MONOMER","b2500(1)","b2500","1","0",1
"708","GARTRANSFORMYL2-MONOMER","b1849(1)","b1849","1","0",1
"709","GCVMULTI-CPLX","b2904(1) AND b0116(2) AND b2905(1) AND b2903(2)","b0116,b2903,b2904,b2905","2,2,1,1","0",4
"710","GDHA-CPLX","b1761(6)","b1761","6","0",1
"711","GDPMANDEHYDRA-CPLX","b2053(2)","b2053","2","0",1
"712","GKI-MONOMER","b3124(1)","b3124","1","0",1
"713","GLCNACPTRANS-MONOMER","b3784(1)","b3784","1","0",1
"714","GlnS_mono","b0680(1)","b0680","1","0",1
"715","GLPT-MONOMER","b2240(1)","b2240","1","0",1
"716","GLTP-MONOMER","b4077(1)","b4077","1","0",1
"717","GLTS-MONOMER","b3653(1)","b3653","1","0",1
"718","GltX_mono","b2400(1)","b2400","1","0",1
"719","GLU6PDEHYDROG-MONOMER","b1852(1)","b1852","1","0",1
"720","GLUC1PADENYLTRANS-CPLX","b3430(4)","b3430","4","0",1
"721","GLUC1PURIDYLTRANS-MONOMER","b1236(1)","b1236","1","0",1
"722","GLUCARDEHYDRA-MONOMER","b2787(1)","b2787","1","0",1
"723","GLUCDEHYDROG-MONOMER","b0124(1)","b0124","1","0",1
"724","GLUCOKIN-MONOMER","b2388(1)","b2388","1","0",1
"725","GLUCONOKINI-MONOMER","b4268(1)","b4268","1","0",1
"726","GLUCONOKINII-CPLX","b3437(3)","b3437","3","0",1
"727","GLUCONREDUCT-MONOMER","b4266(1)","b4266","1","0",1
"728","GLUCOSAMINE-6-P-DEAMIN-CPLX","b0678(6)","b0678","6","0",1
"729","GLUCOSE-1-PHOSPHAT-CPLX","b1002(2)","b1002","2","0",1
"730","GLUTAMATESYN-CPLX","b3213(4) AND b3212(4)","b3212,b3213","4,4","0",2
"731","GLUTAMIDOTRANS-CPLX","b2025(1) AND b2023(1)","b2023,b2025","1,1","0",2
"732","GLUTAMINESYN-OLIGOMER","b3870(12)","b3870","12","0",1
"733","GLUTAREDOXIN-MONOMER","b0849(1)","b0849","1","0",1
"734","GLUTATHIONE-REDUCT-NADPH-CPLX","b3500(2)","b3500","2","0",1
"735","GLUTATHIONE-SYN-CPLX","b2947(4)","b2947","4","0",1
"736","GLUTCYSLIG-MONOMER","b2688(1)","b2688","1","0",1
"737","GLUTDECARBOXA-CPLX","b3517(6)","b3517","6","0",1
"738","GLUTDECARBOXB-CPLX","b1493(6)","b1493","6","0",1
"739","GLUTKIN-CPLX","b0242(4)","b0242","4","0",1
"740","GLUTRACE-CPLX","b3967(2)","b3967","2","0",1
"741","GLUTSEMIALDEHYDROG-CPLX","b0243(4)","b0243","4","0",1
